Precious Achiuwa,PF-C,TOT,74,6.6,1.3,7.6,2023-2024
Precious Achiuwa,C,TOR,25,5.4,1.8,7.7,2023-2024
Precious Achiuwa,PF,NYK,49,7.2,1.1,7.6,2023-2024
Bam Adebayo,C,MIA,71,10.4,3.9,19.3,2023-2024
Ochai Agbaji,SG,TOT,78,2.8,1.1,5.8,2023-2024
Ochai Agbaji,SG,UTA,51,2.5,0.9,5.4,2023-2024
Ochai Agbaji,SG,TOR,27,3.3,1.3,6.7,2023-2024
Santi Aldama,PF,MEM,61,5.8,2.3,10.7,2023-2024
Nickeil Alexander-Walker,SG,MIN,82,2.0,2.5,8.0,2023-2024
Grayson Allen,SG,PHO,75,3.9,3.0,13.5,2023-2024
Jarrett Allen,C,CLE,77,10.5,2.7,16.5,2023-2024
Timmy Allen,SF,MEM,5,3.4,1.0,2.6,2023-2024
Jose Alvarado,PG,NOP,56,2.3,2.1,7.1,2023-2024
Kyle Anderson,PF,MIN,79,3.5,4.2,6.4,2023-2024
Giannis Antetokounmpo,PF,MIL,73,11.5,6.5,30.4,2023-2024
Thanasis Antetokounmpo,PF,MIL,34,0.4,0.5,0.9,2023-2024
Cole Anthony,PG,ORL,81,3.8,2.9,11.6,2023-2024
OG Anunoby,SF,TOT,50,4.2,2.1,14.7,2023-2024
OG Anunoby,SF,TOR,27,3.9,2.7,15.1,2023-2024
OG Anunoby,SF,NYK,23,4.4,1.5,14.1,2023-2024
Ryan Arcidiacono,PG,NYK,20,0.4,0.2,0.0,2023-2024
Deni Avdija,SF,WAS,75,7.2,3.8,14.7,2023-2024
Deandre Ayton,C,POR,55,11.1,1.6,16.7,2023-2024
Udoka Azubuike,C,PHO,16,2.0,0.2,2.2,2023-2024
Ibou Badji,C,POR,22,2.3,0.6,1.5,2023-2024
Marvin Bagley III,C,TOT,50,6.2,1.1,11.7,2023-2024
Marvin Bagley III,C,DET,26,4.5,1.0,10.2,2023-2024
Marvin Bagley III,C,WAS,24,8.1,1.2,13.3,2023-2024
Amari Bailey,PG,CHO,10,0.9,0.7,2.3,2023-2024
Patrick Baldwin Jr.,SF,WAS,38,3.2,0.8,4.4,2023-2024
LaMelo Ball,PG,CHO,22,5.1,8.0,23.9,2023-2024
