Precious Achiuwa,C,TOR,55,6.0,0.9,9.2,2022-2023
Steven Adams,C,MEM,42,11.5,2.3,8.6,2022-2023
Bam Adebayo,C,MIA,75,9.2,3.2,20.4,2022-2023
Ochai Agbaji,SG,UTA,59,2.1,1.1,7.9,2022-2023
Santi Aldama,PF,MEM,77,4.8,1.3,9.0,2022-2023
Nickeil Alexander-Walker,SG,TOT,59,1.7,1.8,6.2,2022-2023
Nickeil Alexander-Walker,SG,UTA,36,1.6,2.1,6.3,2022-2023
Nickeil Alexander-Walker,SG,MIN,23,1.8,1.4,5.9,2022-2023
Grayson Allen,SG,MIL,72,3.3,2.3,10.4,2022-2023
Jarrett Allen,C,CLE,68,9.8,1.7,14.3,2022-2023
Jose Alvarado,PG,NOP,61,2.3,3.0,9.0,2022-2023
Kyle Anderson,PF,MIN,69,5.3,4.9,9.4,2022-2023
Giannis Antetokounmpo,PF,MIL,63,11.8,5.7,31.1,2022-2023
Thanasis Antetokounmpo,SF,MIL,37,1.2,0.4,1.4,2022-2023
Cole Anthony,PG,ORL,60,4.8,3.9,13.0,2022-2023
OG Anunoby,SF,TOR,67,5.0,2.0,16.8,2022-2023
Ryan Arcidiacono,PG,TOT,20,0.8,1.2,1.3,2022-2023
Ryan Arcidiacono,PG,NYK,11,0.4,0.2,0.3,2022-2023
Ryan Arcidiacono,PG,POR,9,1.2,2.3,2.6,2022-2023
Deni Avdija,SF,WAS,76,6.4,2.8,9.2,2022-2023
Deandre Ayton,C,PHO,67,10.0,1.7,18.0,2022-2023
Udoka Azubuike,C,UTA,36,3.3,0.3,3.5,2022-2023
Marvin Bagley III,C,DET,42,6.4,0.9,12.0,2022-2023
Patrick Baldwin Jr.,SF,GSW,31,1.3,0.4,3.9,2022-2023
LaMelo Ball,PG,CHO,36,6.4,8.4,23.3,2022-2023
Mo Bamba,C,TOT,49,4.6,0.9,6.6,2022-2023
Mo Bamba,C,ORL,40,4.6,1.1,7.3,2022-2023
Mo Bamba,C,LAL,9,4.6,0.4,3.7,2022-2023
Paolo Banchero,PF,ORL,72,6.9,3.7,20.0,2022-2023
Desmond Bane,SG,MEM,58,5.0,4.4,21.5,2022-2023
Dalano Banton,PG,TOR,31,1.5,1.2,4.6,2022-2023
Dominick Barlow,SF,SAS,28,3.6,0.9,3.9,2022-2023
Harrison Barnes,PF,SAC,82,4.5,1.6,15.0,2022-2023
Scottie Barnes,PF,TOR,77,6.6,4.8,15.3,2022-2023
RJ Barrett,SG,NYK,73,5.0,2.8,19.6,2022-2023
Will Barton,SG,TOT,56,2.4,2.0,6.8,2022-2023
Will Barton,SG,WAS,40,2.8,2.4,7.7,2022-2023
Will Barton,SG,TOR,16,1.6,1.1,4.5,2022-2023
Charles Bassey,C,SAS,35,5.5,1.3,5.7,2022-2023
Keita Bates-Diop,SF,SAS,67,3.7,1.5,9.7,2022-2023
Nicolas Batum,PF,LAC,78,3.8,1.6,6.1,2022-2023
Darius Bazley,PF,TOT,43,3.2,0.9,5.2,2022-2023
Darius Bazley,PF,OKC,36,3.4,0.9,5.4,2022-2023
Darius Bazley,PF,PHO,7,2.3,0.9,4.0,2022-2023
Bradley Beal,SG,WAS,50,3.9,5.4,23.2,2022-2023
Malik Beasley,SG,TOT,81,3.5,1.5,12.7,2022-2023
Malik Beasley,SG,UTA,55,3.6,1.7,13.4,2022-2023
Malik Beasley,SG,LAL,26,3.3,1.2,11.1,2022-2023
MarJon Beauchamp,SF,MIL,52,2.2,0.7,5.1,2022-2023
Dāvis Bertāns,PF,DAL,45,1.2,0.5,4.6,2022-2023
Patrick Beverley,PG,TOT,67,3.7,2.9,6.2,2022-2023
Patrick Beverley,PG,LAL,45,3.1,2.6,6.4,2022-2023
Patrick Beverley,PG,CHI,22,4.9,3.5,5.8,2022-2023
Saddiq Bey,SF,TOT,77,4.7,1.5,13.8,2022-2023
Saddiq Bey,SF,DET,52,4.7,1.6,14.8,2022-2023
Saddiq Bey,SF,ATL,25,4.8,1.4,11.6,2022-2023
Khem Birch,C,TOR,20,1.3,0.4,2.2,2022-2023
Goga Bitadze,C,TOT,38,3.6,1.0,4.4,2022-2023
Goga Bitadze,C,IND,21,2.3,0.9,3.3,2022-2023
Goga Bitadze,C,ORL,17,5.2,1.2,5.8,2022-2023
Bismack Biyombo,C,PHO,61,4.3,0.9,4.3,2022-2023
Buddy Boeheim,PG,DET,10,0.6,0.4,1.6,2022-2023
Bogdan Bogdanović,SG,ATL,54,3.1,2.8,14.0,2022-2023
Bojan Bogdanović,PF,DET,59,3.8,2.6,21.6,2022-2023
Bol Bol,PF,ORL,70,5.8,1.0,9.1,2022-2023
Leandro Bolmaro,SG,UTA,14,0.5,0.5,0.4,2022-2023
Devin Booker,SG,PHO,53,4.5,5.5,27.8,2022-2023
Brandon Boston Jr.,SG,LAC,22,1.4,0.9,6.5,2022-2023
Chris Boucher,PF,TOR,76,5.5,0.4,9.4,2022-2023
James Bouknight,SG,CHO,34,2.1,1.2,5.6,2022-2023
Jamaree Bouyea,PG,TOT,5,1.2,0.8,3.0,2022-2023
